The Mysteries of Udolpho,Annette,"a maid who has accompanied Madame Cheron from France, is talkative and inclined to exaggeration and superstition, but faithful, affectionate and honest. She is in love with Ludovico and often gets locked in closets."
The Mysteries of Udolpho,Ludovico,"one of Montoni's servants, falls in love with Annette and provides assistance to Emily. He is more sensible than Annette, and is brave and quick-thinking. He is the one who locks the closets."
The Mysteries of Udolpho,Cavigni,"Verezzi, and Bertolini are cavaliers and friends of Montoni. Cavigini is sly, careful, and flatteringly assiduous. Verezzi is a 'man of some talent, of fiery imagination, and the slave of alternate passions. He was gay, voluptuous, and daring; yet had neither perseverance or true courage, and was meanly selfish in all his aims.' Bertolini is brave, unsuspecting, merry, dissipated and markedly extravagant. His flightiness to Emily distresses her."
The Mysteries of Udolpho,Orsino,"an assassin described as the 'chief favourite' of Montoni, is cruel, suspicious, merciless and relentlessly vengeful."
The Mysteries of Udolpho,The Marqu,de Villeroi was the lover of Laurentini before he married the Marchioness. He leaves the Chateau-le-Blanc after her death.
The Mysteries of Udolpho,Francis Beauveau,"Count De Villefort is heir to the mansion at Chateau-le-Blanc in Languedoc. He inherits it from his friend the Marquis de Villeroi. He has two children by a previous marriage, Blanche and Henri, and is married to the Countess De Villefort."
The Mysteries of Udolpho,Lady Blanche,"a sweet young woman with a deep appreciation of the sublime, who writes poetry, resides at Chateau-le-Blanc and befriends Emily, with whom she shares many interests."
The Mysteries of Udolpho,Dorothée,"a servant at the Chateau-le-Blanc, is superstitious like Annette, but less inclined to be found in a closet."
The Mysteries of Udolpho,Monsieur Du Pont ,"one of Emily's suitors. He steals a miniature of Emily belonging to her mother, which he later returns. He helps Emily and her companions escape from Udolpho. He is a friend of De Villefort, who supports his suit. When Emily steadfastly rejects him, he turns his attentions to Blanche, but is thwarted again when she marries St. Foix."
The Mysteries of Udolpho,Monsieur Quesnel,"Emily's uncle, is cold and unfeeling towards Emily until she becomes an heiress."
The Mysteries of Udolpho,Madame Clairval,"Valancourt's aunt and an acquaintance of Madame Cheron, initially approves of the match between Valancourt and Emily, but finally decides there are better prospects for both of them."
The Mysteries of Udolpho,Monsieur Bonnac,"an officer in the French service about 50 years old, Emily meets at the convent. His wife inherits Castle Udolpho."
The Tale of Samuel Whiskers or The Roly-Poly Pudding,Samuel Whiskers ,"a bold, snuff-taking, 'enormous old rat'. He and his wife Anna Maria are thieves.  Whiskers appears in the text and illustrations in The Tale of Ginger and Pickles where he has run up a bill for bacon."
The Tale of Samuel Whiskers or The Roly-Poly Pudding,Anna Maria,Samuel Whiskers' wife.
The Tale of Samuel Whiskers or The Roly-Poly Pudding,Tabitha Twitchit ,described as 'an old cat' and 'an anxious parent'.  She is continually losing her mischievous kittens. She is a village shopkeeper in The Tale of the Pie and the Patty-Pan and The Tale of Ginger and Pickles.
The Tale of Samuel Whiskers or The Roly-Poly Pudding,Ribby ,"Tabitha's neighbour and cousin. She stops by Tabitha's house to borrow yeast, is not afraid of rats, and remains to search for Tom. She is one of the two central characters in The Tale of the Pie and the Patty-Pan (1905)."
The Tale of Samuel Whiskers or The Roly-Poly Pudding,Farmer Potatoes ,"the narrator's neighbour.  Whiskers and Anna Maria take up residence in his barn after John Joiner discovers their retreat under the attic floorboards. He was based on Potter's neighbour Poslethwaite, and appears in one illustration modelled on a photograph."
The Tale of Samuel Whiskers or The Roly-Poly Pudding,John Joiner,"the carpenter dog, removes the floorboard to release Tom. The character was based on John Taylor, the repair man at Sawrey."
The Tale of Samuel Whiskers or The Roly-Poly Pudding,Miss Potter ,depicted in one illustration observing Samuel Whiskers and Anna Maria entering Farmer Potatoes gate with their bundles in her wheelbarrow.
The Planet Savers,Regis Hastur,the Darkover regent’s grandson
The Planet Savers,Kyla Raineach,Renunciate back country guide
The Planet Savers,Buck Kendricks,a spaceforce man
The Planet Savers,Rafe Scott,half Darkovan/half Terran
The Hollow Needle,Isidore Beautrelet,the boy detective
The Hollow Needle,Ganimard,a French police detective
The Hollow Needle,Lou,Valméras
Address: Centauri,Docchi ,"Formerly an electrochemical engineer, an accident mangles him and tosses him into a tank of cold lighting fluid. He survived but the accident left him armless. The fluid also permeated his system, causing him to glow."
Address: Centauri,Nona ,Essentially a living computer. Cannot comprehend spoken language.
Address: Centauri,Jordan ,"Half man, his lower torso was severed in an accident."
Address: Centauri,Anti (Antoinette) ,Ballet dancer who crashed on Venus. Her body was permeated by a Venusian fungus that causes a symbiotic overgrowth of tissue.
Address: Centauri,Doctor Cameron ,Medical doctor and administrator for Handicap Haven.
Address: Centauri,Maureen ,Her body lacks the glands to produce male hormones.
Address: Centauri,Jeriann ,Unable to drink. Gets fluid through absorption capsules.
She Stoops to Conquer,Charles Marlow ,"The central male character, who has set out to court the young attractive Kate Hardcastle. A well-educated man, 'bred a scholar', Marlow is brash and rude to Mr. Hardcastle, owner of 'Liberty Hall' (a reference to another site in London), whom Marlow believes to be an innkeeper. Marlow is sophisticated and has travelled the world. Around working-class women Marlow is a lecherous rogue, but around those of an upper-class card he is a nervous, bumbling fool."
She Stoops to Conquer,George Hastings ,"Friend of Charles Marlow and the admirer of Miss Constance Neville. Hastings is an educated man who cares deeply about Constance, with the intention of fleeing to France with her."
She Stoops to Conquer,Tony Lumpkin ,"Son of Mrs Hardcastle and stepson to Mr Hardcastle, Tony is a mischievous, uneducated playboy."
She Stoops to Conquer,Miss Kate Hardcastle ,"Daughter to Mr. Hardcastle, and the play's stooping-to-conquer heroine."
She Stoops to Conquer,Miss Constance Neville ,"Niece of Mrs. Hardcastle, she is the woman whom Hastings intends to court."
She Stoops to Conquer,Sir Charles Marlow ,"A minor character and father of Charles Marlow; he follows his son, a few hours behind."
Captain Singleton,William Walters,a Quaker
The Rise of Silas Lapham,Pers,Lapham
Psmith in the City,Michael 'Mike' Jackson,"cricket-lover, had hoped to attend Cambridge, but sent to work at New Asiatic Bank because of family financial reverses"
Psmith in the City,Rupert Psmith,"Mike's friend, at the mercy of his eccentric father, also sent to work at New Asiatic Bank; joins Mike in Postage"
Psmith in the City,Mr Smith,"Psmith's father, a wealthy taker-up of hobbies"
Psmith in the City,John Bickersdyke,"a school-friend of Mr Smith, now head of the New Asiatic Bank"
Psmith in the City,Mr Rossiter,"Head of Postage at the Bank, a football fan"
Psmith in the City,Mr Waller,"Head of the Cash Department, an amiable sort"
Psmith in the City,Bannister,"Mike's forerunner in Postage, an Old Boy of Geddington school"
Psmith in the City,Bristow,"Mike replacement there, wearer of clothing that causes Psmith acute suffering"
Le Cid,Don Rodrigue (Le Cid) ,"Chimène's lover, son of Don Diègue. After fighting successfully against the Moors, the enemies name him 'Le Cid,' which is derived from the Arabic word for lord, sayyid."
Le Cid,Don Gomès,"The Count of Gormas -  father of Chimène, general of Castille"
Le Cid,Don Diègue ,Father of Don Rodrigue
Le Cid,Doña Urraque,"L'Infante - daughter of the king, in love with Don Rodrigue"
Le Cid,Don Fernand ,"King of Castille (historically, from 1035-1065)"
Le Cid,Don Sanche ,"In love with Chimène, fights Don Rodrigue"
Le Cid,Elvire ,Chimène's governess
Le Cid,Leonor , Doña Urraque's governess.
Eugene Onegin,Eugene Onegin,"A dandy from Saint Petersburg, about 26. An arrogant, selfish, and world-weary cynic."
Eugene Onegin,Vladimir Lensky,"A young poet, about 18. A very romantic and naïve dreamer."
Eugene Onegin,Tatyana Larina,"A shy and quiet, but passionate, landowner's daughter. Pushkin referred to her as aged 17 in a letter to Pyotr Vyazemsky."
Eugene Onegin,Olga Larina,Tatyana's younger sister.
Five Children and It,Cyril,"known as Squirrel: the eldest sibling, who is brave, diplomatic, and book-smart (very intelligent)"
Five Children and It,Anthea,"known as Panther: the second eldest, who is kind, sensible, and good-hearted."
Five Children and It,Robert,"known as Bobs: the middle child, he is a practical joker with a quick temper."
Five Children and It,Jane,"known as Pussy: a generally agreeable little girl with a tendency to be oversensitive, she is sometimes weepy and easily frightened."
Five Children and It,Hilary,"the baby, known as the Lamb (because his first word was 'baa'). He is too young to have much of a personality."
Five Children and It,'It' ,"the Psammead, a grumpy, ancient, wish-granting fairy who causes trouble for the children but nevertheless grows fond of them."
Sylvia's Lovers,Sylvia Robson ,the heroine
Sylvia's Lovers,Daniel Robson ,"Sylvia's father, a former whaler"
Sylvia's Lovers,Molly Corney ,Sylvia's friend
Sylvia's Lovers,Charley Kinraid , a specksioneer or harpooner on a whaling ship
Sylvia's Lovers,Philip Hepburn ,"Sylvia's cousin (her mother’s nephew), works in a draper's shop"
Sylvia's Lovers,Hester Rose ,also works in the draper's shop
Sylvia's Lovers,Alice Rose ,Hester's mother
The Beautiful and Damned,Anthony Patch,"A self-acclaimed romantic who is an heir to his grandfather's large fortune. He is unambitious, and therefore unmotivated to work even as he pursues various careers. He is enthralled by Gloria Gilbert and falls in love with her immediately. He is drafted into the army but does not display active or patriotic service. Throughout the novel he compensates for a lack of vocation with parties and increasing alcoholism. His expectations of future wealth make him powerless to act in the present, leaving him with empty relationships in the end.Gloria Gilbert—A beauty who takes Anthony's heart, breaking a heart or two along the way. She is a socialite but entertains notions of becoming an actress. Gloria is self-absorbed but loves Anthony. Her personality revolves around her beauty and a (not unjustified) belief that this makes her more important than everyone else. She simultaneously loves Anthony and hates him. Like Anthony, she is incapable of being in the present because she cannot imagine a future beyond her first flower of beauty. Gloria's obsession with her appearance spoils any chance for personal victories.Richard 'Dick' Caramel—An aspiring author and one of Anthony's best friends. During the course of the book he publishes his novel The Demon Lover and basks in his glory for a good amount of time after publication. He is Gloria's cousin and the one who brought Anthony and Gloria together.Mr. Bloeckman—A movie producer who is in love with Gloria and hopes she will leave Anthony for him. Gloria and Bloeckman had a relationship in the works when Gloria and Anthony were introduced. He is a friend of the family, but Gloria falls for Anthony instead. He continues to be friends with Gloria, giving Anthony some suspicion of an affair.Dorothy 'Dot' Raycroft—The 19 year old woman that Anthony has an affair with while training for the army. She is a lost soul looking for someone to share her life with. She falls in love with Anthony despite learning that he is married, causes problems between Gloria and Anthony, and spurs Anthony's decline in mental health."
The Call of the Wild,Buck,"the novel's protagonist; a 140-pound St. Bernard–Scotch Collie mix who lived contentedly in California with Judge Miller. However, he was stolen and sold to the Klondike by the gardener's assistant Manuel and was forced to work as a sled dog in the harsh Yukon. He eventually finds a loving master named John Thornton and gradually grows feral as he adapts to the wilderness, eventually joining a wolf pack. After Thornton's death, he is free of humans forever and becomes a legend in the Klondike."
The Call of the Wild,Spitz,"the novel's main antagonist and Buck's arch-rival; a white-haired husky from Spitsbergen who had accompanied a geological survey into the Canadian Barrens. He has a long career as a sled dog leader, and sees Buck's uncharacteristic ability, for a Southland dog, to adapt and thrive in the North as a threat to his dominance. He repeatedly provokes fights with Buck, who bides his time."
The Call of the Wild,Dave,"the 'wheel dog' at the back end of the dog-team. He is brought North with Buck and Spitz and is a faithful sled dog who only wants to be left alone and led by an effective lead dog. During his second down-trek on the Yukon Trail, he grows mortally weak, but the men accommodate his pride by allowing him to continue to drive the sled until he becomes so weak that he is euthanized."
The Call of the Wild,Curly,a large Newfoundland dog who was murdered and eaten by native huskies.
The Call of the Wild,Billee,"a good-natured, appeasing husky who faithfully pulls the sled until being worked to death by Hal, Charles, and Mercedes."
The Call of the Wild,Dolly,"a strong husky purchased in Dyea, Alaska by Francois and Perrault. Dolly is badly hurt after an attack of wild dogs, and she later goes rabid herself, furiously attacking the other sled dogs including Buck, until her skull is smashed in by Francois as he struggles to stop her madness."
The Call of the Wild,Joe,"Billee's brother, but with an opposite personality— sour and introspective. Spitz is unable to discipline him, but Buck, after rising to the head of the team, brings him into line."
The Call of the Wild,Sol-leks ('The Angry One'),"a one-eyed husky who does not like being approached from his blind side. Like Dave, he expects nothing, gives nothing, and only cares about being left alone and having an effective lead dog."
The Call of the Wild,Pike,a clever malingerer and thief
The Call of the Wild,Dub,"an awkward blunderer, always getting caught"
The Call of the Wild,The Wild Brother,a lone wolf who befriends Buck
The Call of the Wild,Judge Miller,"Buck's first master who lived in Santa Clara Valley, California with his family. Unlike Thornton, he only expressed friendship with Buck, whereas Thornton expressed love."
The Call of the Wild,Manuel,Judge Miller's employee who sells Buck to the Klondike to pay off his gambling debts.
The Call of the Wild,Perrault,a French-Canadian courier for the Canadian government who is Buck's first Northland master.
The Call of the Wild,François,"a French-Canadian mixed race man and Perrault's partner, the musher who drives the sled dogs."
The Call of the Wild,Hal,an aggressive and violent musher who is Mercedes' brother and Charles' brother-in-law; he is inexperienced with handling sled dogs.
The Call of the Wild,Charles,"Mercedes' husband, who is less violent than Hal."
The Call of the Wild,Mercedes,a spoiled and pampered woman who is Hal's sister and Charles' wife.
The Call of the Wild,John Thornton,a gold hunter who is Buck's final master until he is killed by the Yeehats.
The Call of the Wild,The Yeehats,"a tribe of Native Americans. After they kill John Thornton, Buck attacks them, and eternally 'dogs' them after going wild—assuring they never re-enter the valley where his last master was murdered."
In the Reign of Terror: The Adventures of a Westminster Boy,Harry Sandwith ,"The protagonist and narrator, Harry is a young English boy sent to live with the St. Caux family, a family of French aristocrats. During the height of the French Revolution, he helps Jeanne and Virginie, the two youngest St. Caux daughters, escape to England."
In the Reign of Terror: The Adventures of a Westminster Boy,Marqu,"and Marquise de St. Caux – The St. Caux parents, who are wealthy French aristocrats. Both are killed during the September Massacres."
Little Eyolf,Rita Allmers,his wife
Little Eyolf,Eyolf,"their son, nine years old"
Little Eyolf,Asta Allmers,Alfred's younger half-sister
Little Eyolf,Borghejm,a road builder
Little Brother (Doctorow novel),Marcus Yallow ,"Main protagonist, a 17-year-old high school student who enjoys understanding technology and building his own custom devices. He is the leader of his foursome of friends."
Little Brother (Doctorow novel),Darryl Glover ,Marcus' best friend who attends the same high school as Marcus and is Marcus' second-in-command and the 'details man' of the group. He has had a crush on Van for years.
Little Brother (Doctorow novel),Vanessa Pak (Van) ,"17-year-old North Korean girl who attends a nearby all-girls Catholic school, she is the 'ideas' person of the group. She has been attracted to Marcus for a long time, but doesn't admit it until the end of the book. Her parents managed to escape from North Korea."
Little Brother (Doctorow novel),Jose Luis Torrez (Jolu) ,"A brilliant high school student at a nearby Catholic school, he is the technical member of the group. Even though everyone in the group is technically competent, he is the most technology-oriented, doing his own programming, and working for a local ISP. He is somewhat vain and seems to work at being cool."
Little Brother (Doctorow novel),Drew Yallow ,"Marcus' father who has a stormy relationship with Marcus through most of the book. He was so scared by the thought of Marcus having died during the bombing, because Marcus was missing for three days, that he supports the tactics DHS employs. This leads to many arguments with Marcus despite his former mindset that was similar to Marcus'."
Little Brother (Doctorow novel),Lillian Yallow ,"Marcus' mother, British expatriate, who helps newly immigrated Britons integrate into American life. She and Marcus have a strong bond and seem to think alike. She is a strong woman and helps mediate Marcus' fights with his father."
Little Brother (Doctorow novel),Charles Walker ,"Also a student at the same high school as Marcus and Darryl, he is the antithesis of Marcus. He is a bully, a brown noser and a snitch. He and Marcus have a long-standing feud and detest each other."
Little Brother (Doctorow novel),Carrie Johnstone (Severe Haircut Lady) ,Main antagonist and in charge of the DHS that is monitoring San Francisco. She is a cold sadistic woman to whom the ends always justify the means and enjoys abusing her power. It has been claimed that she is based on Theresa May.
Little Brother (Doctorow novel),Angela Carvelli (Ange) ,"She attends the same high school as Van and develops into Marcus' love interest, when she first meets him at a party. She is an active member of the Xnet and is very strong-willed, and independent. She's known to use pepper spray as a condiment."
Little Brother (Doctorow novel),Barbara Stratford ,"Investigative reporter for the Bay Guardian, who helps Marcus expose what the DHS has been doing."
Little Brother (Doctorow novel),Masha ,"A DHS operative who attempts to help Marcus escape the city. Marcus meets her briefly in the beginning of the novel when she threatens to expose him for skipping school while ARGing. He also meets up with Masha in the end in the midst of their escape, he finds a photo of his friend Darryl and his position on running away is changed. Therefore he escapes from Masha after beating her up and smashing her fingers in a truck door."
Little Brother (Doctorow novel),Zeb ,"A former detainee of DHS's 'Gitmo-by-the-Bay', he manages to escape and attempts to disappear after contacting Marcus about Darryl and the current status of the prison."
The Vicar of Wakefield,He ,"the vicar in the title, and the narrator of the story. He presents one of the most harmlessly simple and unsophisticated yet also ironically complex figures ever to appear in English fiction. He has a mild, forgiving temper, as seen when he forgives his daughter Olivia with open arms. He is a loving husband and a father of six healthy, blooming children. However, though he usually has a sweet, benevolent temper, he can sometimes be a bit silly, stubborn, or vain. For instance, he is obsessed with a particularly obscure, and not very important, matter of church doctrine. One of his 'favourite topics', he declares, is matrimony, and explains that he is proud of being 'a strict monogamist.' He tactlessly adheres to his 'principles' in the face of a violent disagreement with the neighbour who was soon to become his son's father-in-law: he '...was called out by one of my relations, who, with a face of concern, advised me to give up the dispute, at least till my son's wedding was over.' However, he angrily cries that he will not 'relinquish the cause of truth,' and hotly says, 'You might as well advise me to give up my fortune as my argument.' This is ironic, as he immediately finds out that his fortune is actually almost nothing. This makes Mr. Wilmot break off the intended marriage with Mr. Primrose's son George and Miss Arabella Wilmot, and thus his son's happiness is almost shattered. He is sometimes proud of what he fancies is his ability at arguing, and often misjudges his family's supposed friends and neighbors. However, despite all his faults, he is affectionate, faithful, loving, patient, and essentially good-natured."
Troilus and Criseyde,Achilles,a Greek warrior
Troilus and Criseyde,Antenor,"a soldier held captive by the Greeks, traded for Criseyde's safety, eventually betrays Troy"
Troilus and Criseyde,Calchas,a Trojan prophet who joins the Greeks
Troilus and Criseyde,Criseyde,Calchas' daughter
Troilus and Criseyde,Diomede,woos Criseyde in the Greek Camp
Troilus and Criseyde,Helen,"wife to Menelaus, lover of Paris"
Troilus and Criseyde,Pandarus,"Criseyde's uncle, who advises Troilus in the wooing of Criseyde"
Troilus and Criseyde,Priam,King of Troy
Troilus and Criseyde,Cassandra,"Daughter of Priam, a prophetess at the temple of Apollo"
Troilus and Criseyde,Hector,"Prince of Troy, fierce warrior and leader of the Trojan armies"
Troilus and Criseyde,Troilus,"Youngest son of Priam, and wooer of Criseyde"
Troilus and Criseyde,Paris,"Prince of Troy, lover of Helen"
Troilus and Criseyde,Deiphobus,"Prince of Troy, aids Troilus in the wooing of Criseyde"
Ivanov (play),Nikolai Ivanov ,"A government official concerned with peasant affairs, Chekhov paints him as the quintessentially melancholy Russian from the upper social strata. Severely afflicted by internal conflicts; his loss of appetite for life, love of his wife, and external pressures; managing his estate and his debts, collide in a melodramatic climax."
Ivanov (play),Paul Lebedev ,Chairman of the rural district council. Confidant and good friend to Ivanov.
Ivanov (play),Zinaida ,Lebedev's wife. She is a wealthy lender to whom Ivanov owes a large sum of money.
Ivanov (play),Sasha ,"The Lebedevs' 20-year-old daughter. She is infatuated with Ivanov, an infatuation which ends in her nearly marrying him."
Ivanov (play),Eugene Lvov ,"A pompous young doctor on the council's panel, and an honest man. Throughout the play, he moralizes and attacks Ivanov's character. He later resolves to reveal what he believes are Ivanov's intentions in marrying Sasha."
Ivanov (play),Count Matthew Shabelsky ,"Ivanov's maternal uncle, a geriatric buffoon. He indulges in antisemitic jokes but his tenderness to Anna is unmistakable."
Ivanov (play),Martha Babakina ,"A young widow, estate-owner, and the daughter of a rich businessman. She has a turbulent relationship with the Count."
Ivanov (play),Michael Borkin ,"A distant relative of Ivanov and manager of his estate. Somewhat of a jester, he comes out with many money-making schemes throughout the play – including his proposal for the Count and Martha Babakina to marry."
Ivanov (play),Dmitry Kosykh ,An excise officer.
Alexander's Bridge,Professor Lucius Wilson,a Professor of Philosophy. He was a student in Boston and now lectures in a Western university
Alexander's Bridge,Mr Bartley Alexander,a bridge builder
Alexander's Bridge,Thomas,the Alexanders' servant
Alexander's Bridge,Keller,a Scottish engineer who brought Bartley from London to Quebec when he was younger; he was a friend of Eleanor Pemberton's
Alexander's Bridge,Mrs Eleanor Pemberton,Winifred's aunt
Alexander's Bridge,Maurice Mainhall,a popular man amongst writers
Alexander's Bridge,Connell,a playwright
Alexander's Bridge,Hilda Burgoyne,Bartley's erstwhile lover with whom he resumes an affair; she is an actress
Alexander's Bridge,Irene Burgoyne,a member of Hilda's family
Alexander's Bridge,Lady Kildare,an Irish philanthropist
Alexander's Bridge,Robert Owen,Lady Kildare's nephew
Alexander's Bridge,Sarah Frost,a novelist
Alexander's Bridge,Mr Frost,Sarah Frost's husband
Alexander's Bridge,Marie,a French girl
Alexander's Bridge,Angel,"Madame Anger's servant, who was from Britanny and eventually left to start affairs with soldiers"
Alexander's Bridge,Philip Horton,he works on bridges with Bartley
Jennie Gerhardt,Jennie Gerhardt,"the protagonist. She starts work as a charwoman in a hotel in Columbus. Later she works as a maid in Cleveland. After Lester leaves her, she moves to Sandwood, a small town close to Chicago. Full name Genevieve."
Jennie Gerhardt,Mrs Gerhardt,Jennie's mother.
Jennie Gerhardt,William Gerhardt,"Jennie's father. He is German. He works as a glass blower. He is ill at the outset of the novel. Later, he moves to Youngstown, Ohio when his family move to Cleveland, Ohio upon Sebastian's exhortation. Eventually, he moves to Chicago with Jennie and Lester after his other children have left him. He is a staunch Lutheran and makes a point to baptize Vesta. He dies of old age."
Jennie Gerhardt,Sebastian Gerhardt,Jennie's brother. He is described as a dandy who is ashamed of his family's lack of wherewithal. He is also known as Bass.
Jennie Gerhardt,George,"Martha, William, Veronica, Jennie's other siblings."
Jennie Gerhardt,Senator Brander,a middle-aged United States State Senator who falls for Jennie and leaves her pregnant. He dies of typhoid before they can marry.
Jennie Gerhardt,Wilhelmina Vesta,"known as Vesta, Jennie and Brander's illegitimate child. Jennie and her mother hide Vesta from Jennie's father until he joins them in Cleveland. Later, she hides Vesta from Lester. The child later dies of typhoid fever."
Jennie Gerhardt,Doctor Ellwanger,the Gerhardts' practitioner in Columbus.
Jennie Gerhardt,Pastor Wundt,the Gerhardts' Lutheran pastor in Columbus.
Jennie Gerhardt,Mrs Bracebridge,Jennie's employer in Cleveland. Her husband is named Henry.
Jennie Gerhardt,Lester Kane,Jennie's second lover. He meets Jennie as he is visiting his longtime friend Mrs Bracebridge.
Jennie Gerhardt,Robert Kane,"Lester's brother. He is described as a shrewd businessman. Although the two men part ways after their father's death, Robert apologizes by the end of the novel."
Jennie Gerhardt,Amy,"Imogene, and Louise, Lester's sisters."
Jennie Gerhardt,Mrs Jacob Stendhal,"Mr & Mrs Carmichael Burk, Mrs Hanson Field, Mrs Timothy Ballinger, Mrs Crag, Mrs Sommerville, neighbours of Jennie and Lester's in South Hyde Park."
Jennie Gerhardt,Letty Pace,an affluent widow whom Lester marries.
Jennie Gerhardt,Mrs Davis,a fifty-year-old matron who helps Jennie when Vesta dies.
The Playboy of the Western World,Christy Mahon,a man who brags he has killed his father
The Playboy of the Western World,Old Mahon,"Christy's father, a squatter"
The Playboy of the Western World,Michael James Flaherty,a publican
The Playboy of the Western World,Margaret Flaherty,"called Pegeen Mike, Michael's daughter, and the bar-maid"
The Playboy of the Western World,Shawn Keogh, a young man who loves Pegeen
The Playboy of the Western World,Widow Quin,a widow of about thirty
The Playboy of the Western World,Sara Tansey,"Susan Brady, Honor Blake, and Nelly, village girls"
"Thuvia, Maid of Mars",Carthoris,"Son of John Carter and Dejah Thoris who inherits his father's superior strength and ability with a sword. A minor character in The Gods of Mars. A principal character in Thuvia, Maid of Mars and love interest of Thuvia."
"Thuvia, Maid of Mars",Kar Komak,"A Lotharian bowman, with a noble and chivalrous personality (unlike the majority of the remaining Lotharians). While initially one of the phantoms projected by the Lotharians to fight off the Green Martian attacks on Lothar, he assumes a corporeal form after Carthoris and Thuvia leave Lothar, and turns out to have been a real Lotharian from the distant past. He joins the pair, fighting in the battles that follow. He is also able to create his own phantom bowmen to assist in combat."
The Monastery,Elspet Glendinning,of Glendearg
The Monastery,Captain Stawarth Bolton,an English officer
The Monastery,Brittson,his sergeant
The Monastery,Alice,the Lady of Avenel
The Monastery,Mary,her daughter
The Monastery,Julian Avenel,her brother-in-law
The Monastery,Martin Tacket,a shepherd
The Monastery,Tibb,his wife
The Monastery,Boniface,Abbot of St Mary's monastery
The Monastery,Father Philip,the sacristan
The Monastery,Father Eustace,the sub-prior
The Monastery,Happer (Hob Miller)Mysie,his daughter
The Monastery,Sir Piercie Shafton,an English courtier
The Monastery,Henry Warden,a preacher
The Monastery,James,"Earl of Moray, Regent of Scotland"
The Monastery,Sir John Foster,an English Warden
The Monastery,James Douglas,Earl of MortonA pedlar
The Mystery of the Yellow Room,Joseph Rouletabille ,"the young journalist and amateur detective, protagonist"
The Mystery of the Yellow Room,Jean Sainclair ,"Rouletabille's friend and lawyer, the narrator"
The Mystery of the Yellow Room,Frédéric Larsan ,the police detective
The Mystery of the Yellow Room,Professor Stangerson ,"the scientist, owner of 'Chateau du Glandier'"
The Mystery of the Yellow Room,'Father' Jacques ,an old servant in the Stangerson family
The Haunted Bookshop,Roger Mifflin,"Bookseller, proprietor of The Haunted Bookshop."
The Haunted Bookshop,Aubrey Gilbert,Young advertising man who suspects illicit acts are occurring.
The Haunted Bookshop,Bock,"Roger Mifflin's dog, a mustard-colored terrier named for Boccaccio."
The Haunted Bookshop,Helen Mifflin,Mr. Mifflin's wife.
The Haunted Bookshop,George Chapman,"A client of Gilbert, friend of Mifflin, and father of Titania."
The Haunted Bookshop,Titania Chapman,A young lady apprenticed to Mr. Mifflin.
The Haunted Bookshop,Metzger,Assistant chef at the Octagon Hotel.
